beta,total_loss,rec_loss,kl_loss,sigma-0_mean,sigma-0_std,sigma-1_mean,sigma-1_std,sigma-2_mean,sigma-2_std,sigma-3_mean,sigma-3_std,sigma-4_mean,sigma-4_std
10,23.040939331054688,15.684728622436523,7.356209754943848,0.9995584487915039,0.0006525213248096406,1.0000919103622437,0.0006348967435769737,1.0001300573349,0.0009938071016222239,0.6304336786270142,0.01387463416904211,0.7678886651992798,0.025719713419675827
11,24.39681625366211,17.600570678710938,6.796246528625488,0.9998341202735901,0.000812467304058373,0.6598364114761353,0.012344996444880962,0.9999287724494934,0.0009470448130741715,0.8098539710044861,0.020891306921839714,0.9997713565826416,0.002639457816258073
12,24.2055721282959,17.68537139892578,6.520200729370117,1.0000996589660645,0.0009182305657304823,0.8483557105064392,0.015567462891340256,1.0002000331878662,0.0016304138116538525,0.9998325109481812,0.002270063618198037,0.6849872469902039,0.014669066295027733
13,25.431711196899414,21.15655517578125,4.275156021118164,0.9992967247962952,0.003561162855476141,0.9999696016311646,0.00025615980848670006,0.7196904420852661,0.02054770663380623,0.9995431303977966,0.0018597979797050357,0.9994431138038635,0.003073375439271331
14,26.15534782409668,22.05973243713379,4.095615386962891,0.7457651495933533,0.018784860149025917,1.0007787942886353,0.0008965645683929324,0.9999857544898987,0.0004860308254137635,0.9997884631156921,0.002772649982944131,1.0013002157211304,0.0019576530903577805
15,26.415498733520508,22.574674606323242,3.8408241271972656,1.0008620023727417,0.0022430336102843285,0.9998119473457336,0.0013919515768066049,1.0003130435943604,0.002473113127052784,0.7715104222297668,0.014076451770961285,1.00054132938385,0.0013306393520906568
16,26.253461837768555,22.60622787475586,3.647233724594116,0.7989619374275208,0.010396083816885948,1.000244140625,0.002875719917938113,0.9998654127120972,0.001310931984335184,0.9997791647911072,0.0009922488825395703,1.0001229047775269,0.001872553606517613
17,26.91745948791504,23.694934844970703,3.222525119781494,0.9997751712799072,0.0020428269635885954,0.8275744915008545,0.009136724285781384,0.999636709690094,0.0023271851241588593,1.000118374824524,0.0005246612126938999,0.9992056488990784,0.0023922082036733627
18,27.101417541503906,24.151395797729492,2.9500224590301514,0.8477680683135986,0.011248243041336536,1.0000946521759033,0.0017195002874359488,0.9993100762367249,0.0031817445997148752,0.9997036457061768,0.0009901473531499505,1.0000134706497192,0.0013101330259814858
19,27.128625869750977,24.484851837158203,2.6437737941741943,1.0007412433624268,0.0014696887228637934,0.9994832873344421,0.0007335518021136522,0.9995789527893066,0.0018849847838282585,0.9995169639587402,0.001205684500746429,0.869313657283783,0.00818570051342249
20,27.32058334350586,25.060501098632812,2.260082483291626,0.9999011158943176,0.0007980560185387731,1.000184416770935,0.0013472010614350438,1.000627875328064,0.00088875851361081,0.8910998106002808,0.005601649172604084,0.999980092048645,0.00222897925414145
21,27.31560707092285,26.136566162109375,1.1790413856506348,0.9992473721504211,0.004290682729333639,0.9630774259567261,0.009643975645303726,0.9932340979576111,0.008021273650228977,0.9993999004364014,0.0016779954312369227,0.990433931350708,0.004364400170743465
22,27.217790603637695,25.82815933227539,1.3896315097808838,1.00015389919281,0.0018262193771079183,1.0000784397125244,0.0011807478731498122,1.0002892017364502,0.0006100250757299364,0.9403901100158691,0.005658413283526897,0.9983016848564148,0.0014624196337535977
23,27.50131607055664,27.475940704345703,0.025375816971063614,1.00014066696167,0.0026962258853018284,0.9992169141769409,0.002677838085219264,0.999108076095581,0.0005529436748474836,0.9989442825317383,0.0016355823026970029,1.0002866983413696,0.0017163055017590523
24,27.540616989135742,27.51531219482422,0.0253048874437809,0.9991457462310791,0.0008685282664373517,0.9999350309371948,0.0009960357565432787,0.9993064403533936,0.0006262280512601137,1.000603199005127,0.000643533596303314,0.999782145023346,0.0050821020267903805
25,27.501869201660156,27.500659942626953,0.0012091477401554585,1.0001674890518188,0.00035613603540696204,0.9999131560325623,0.0021013962104916573,0.9998989105224609,0.0004967449931427836,1.0000461339950562,0.0009029245120473206,1.0000394582748413,0.0005972046055831015
26,27.48398208618164,27.482425689697266,0.0015559922903776169,0.9998327493667603,0.0003822496219072491,0.9997309446334839,0.001021818839944899,0.9999427199363708,0.0006506283534690738,1.000339150428772,0.0008237380534410477,0.9999983310699463,0.0016398739535361528
27,27.47783088684082,27.477558135986328,0.000272202305495739,1.0000396966934204,0.0005479038809426129,0.999987006187439,0.0001927540433825925,1.0000357627868652,0.0005921352421864867,0.9999132752418518,0.0016667298041284084,1.0000860691070557,0.00045064438018016517
28,27.47634506225586,27.475778579711914,0.0005670972168445587,1.0001357793807983,0.000659808749333024,0.9993578791618347,0.0010719940764829516,1.000005841255188,0.000698462245054543,0.9999697208404541,0.0006281720707193017,0.9999503493309021,0.0002929568581748754
29,27.491989135742188,27.491695404052734,0.00029294611886143684,0.9999245405197144,0.0003041108138859272,1.0000319480895996,0.0013890642439946532,0.9998927116394043,0.0007775178528390825,1.0003468990325928,0.0005499920807778835,1.0001459121704102,0.001104341121390462
30,27.49338150024414,27.49225425720215,0.001126416027545929,0.9999157190322876,0.0003954897983931005,0.9998990893363953,0.0012020557187497616,0.9999382495880127,0.00037022371543571353,0.9998141527175903,0.004933107644319534,1.000058889389038,0.0004740406875498593
