beta,total_loss,rec_loss,kl_loss,enc_norm,dec_norm,sigma-0_mean,sigma-0_std,sigma-1_mean,sigma-1_std,sigma-2_mean,sigma-2_std
10,23.678074792027473,16.88878585398197,6.789288995787501,0.21701668191235512,4.538208048790693,0.8137815594673157,0.012174003757536411,0.9989938139915466,0.006293927319347858,0.6278754472732544,0.01659073494374752
11,24.143932916224003,17.798356998711824,6.345575929619372,0.20080372993834317,4.328289292752743,0.6607944369316101,0.016844261437654495,0.9998630285263062,0.0017375668976455927,0.8516423106193542,0.018276898190379143
12,24.748947840183973,18.875771820545197,5.873176020570099,0.18502229097066447,4.050795679911971,0.8924928307533264,0.015356454998254776,0.999692440032959,0.003036117646843195,0.6858779191970825,0.01147092692553997
13,25.484485164284706,20.13952174410224,5.344963449053466,0.16842072119470686,3.785894307307899,0.926594078540802,0.014131220988929272,0.9997250437736511,0.0030628275126218796,0.7123678922653198,0.015382117591798306
14,25.897150464355946,21.070745822042227,4.826404642313719,0.15304053551517427,3.5251805037260056,0.999751627445221,0.003157649887725711,0.7394574284553528,0.015369110740721226,0.9573831558227539,0.012316678650677204
15,26.170551165938377,22.030744798481464,4.139806324616075,0.13352755713276565,3.2506765853613615,0.7706682085990906,0.014627805911004543,0.9998828172683716,0.004360593855381012,0.9892947673797607,0.009391380473971367
16,26.117320653051138,22.506613038480282,3.610707598272711,0.12036250103847124,3.051160115748644,0.799747884273529,0.015308143571019173,0.9993678331375122,0.0032705646008253098,0.9999578595161438,0.0027078723069280386
17,26.506450563669205,23.104694344103336,3.4017562586814165,0.11406808928586543,2.8798025297001004,0.818711519241333,0.013280253857374191,0.9997951984405518,0.002462269738316536,0.9999650716781616,0.001241051941178739
18,26.455525420606136,23.42674559354782,3.028779888525605,0.1062185775663238,2.699143356643617,0.9995602965354919,0.004055990371853113,0.999666690826416,0.0030673767905682325,0.8443464636802673,0.011931683868169785
19,26.746011279523373,24.055605556815863,2.690405843546614,0.09862748516025022,2.4968969337642193,0.8668537139892578,0.014124908484518528,0.999937117099762,0.0007696300745010376,0.9999467134475708,0.002192760119214654
20,27.010813768953085,24.566480312496424,2.444333437131718,0.09282840712694451,2.34522841591388,0.999947726726532,0.0025442377664148808,0.999833345413208,0.0017100339755415916,0.886833906173706,0.014014017768204212
21,27.181477714329958,25.271173398941755,1.9103042946662754,0.0811341066728346,2.0129270125180483,0.9135023951530457,0.013177777640521526,0.9998612403869629,0.002947731874883175,0.999769389629364,0.0035033768508583307
22,27.196202099323273,25.559903480112553,1.6362986823078245,0.07420268809073605,1.8829575753770769,0.9311445355415344,0.013446959666907787,0.9998624920845032,0.003487846115604043,0.9998620748519897,0.002706976840272546
23,27.172161538153887,26.164844255894423,1.0073172800475731,0.057608785151387565,1.4432740416377783,0.9997683167457581,0.002453396562486887,0.9997519254684448,0.003585674799978733,0.9577092528343201,0.010297173634171486
24,27.25482201948762,26.627746008336544,0.6270759641192853,0.044940639345441014,1.1301454957574606,0.9991216063499451,0.007081078831106424,0.9996982216835022,0.004319432191550732,0.9764419794082642,0.009383163414895535
25,27.251670837402344,27.138510808348656,0.11315999276121147,0.019020479296159465,0.4772240760503337,0.9987125396728516,0.005263982806354761,0.9973384141921997,0.006790920160710812,0.9992225766181946,0.003410868113860488
26,27.28621257469058,27.250200655311346,0.03601193515351042,0.010525408888497623,0.2727918649325147,0.9998352527618408,0.003903747769072652,0.9985527396202087,0.005475341342389584,0.9997814893722534,0.0035592769272625446
27,27.26292885839939,27.253367222845554,0.009561727551044896,0.005644252556521678,0.14890403114259243,1.0000048875808716,0.00322302826680243,0.9996975660324097,0.0028481525368988514,0.9998247027397156,0.0028030783869326115
28,27.247961901128292,27.233830362558365,0.014131530770100653,0.00660850392341672,0.18394564202753827,0.9996530413627625,0.003940258175134659,0.9999409914016724,0.0025781362783163786,0.9999578595161438,0.0017601510044187307
29,27.259176202118397,27.258235290646553,0.0009408790792804211,0.002212704093381035,0.05883244681172073,0.9999184608459473,0.0017944946885108948,0.9999741315841675,0.0004607281880453229,0.99997478723526,0.0011219141306355596
30,27.28489176183939,27.27772932127118,0.007162372930906713,0.004663847871597682,0.1379447226645425,0.999918520450592,0.0016855516005307436,0.9994450211524963,0.0038882140070199966,0.9998852014541626,0.0016502223443239927
