beta,total_loss,rec_loss,kl_loss,enc_norm,dec_norm,sigma-0_mean,sigma-0_std,sigma-1_mean,sigma-1_std,sigma-2_mean,sigma-2_std,sigma-3_mean,sigma-3_std,sigma-4_mean,sigma-4_std
20,24.932615280151367,24.457473754882812,0.47514164447784424,0.0467621311545372,0.9804997444152832,0.9934011101722717,0.0038110269233584404,0.9999606609344482,0.00028547795955091715,0.9986156821250916,0.0008500571711920202,0.9998899102210999,0.00013030756963416934,0.9859228134155273,0.002332645934075117
21,25.05018424987793,24.83968162536621,0.2105035036802292,0.03051718883216381,0.6539076566696167,0.9996184706687927,0.0002802849339786917,0.999178409576416,0.000364779174560681,0.9963522553443909,0.0011254952987655997,0.9967314004898071,0.002027417067438364,0.9997102618217468,0.0008754597511142492
22,24.91389274597168,24.861614227294922,0.0522783100605011,0.014890007674694061,0.33240386843681335,0.9999189972877502,0.00010046910028904676,0.9999809265136719,3.6062741855857894e-05,0.9999798536300659,0.0001789370580809191,0.9998491406440735,0.0005439445376396179,0.9978109002113342,0.0016447637462988496
23,24.962182998657227,24.953752517700195,0.008430905640125275,0.00602117320522666,0.1383553445339203,0.9999107122421265,0.00023105330183170736,1.0000009536743164,3.3194948628079146e-05,0.9999188184738159,0.00017539720283821225,0.9997613430023193,0.0007885996601544321,1.000038504600525,0.0008372933370992541
24,24.952255249023438,24.950454711914062,0.001800399273633957,0.002917808946222067,0.06969641894102097,0.9999901056289673,4.1064180550165474e-05,0.9999367594718933,3.831193316727877e-05,0.9999908208847046,4.9577400204725564e-05,1.000273585319519,0.0008566956967115402,0.9999814033508301,0.0003574060392566025
25,24.939889907836914,24.937707901000977,0.002182857133448124,0.0031417603604495525,0.07851535826921463,1.0000180006027222,9.893442620523274e-05,0.9999940395355225,1.9234530554967932e-05,0.9999850988388062,4.907151378574781e-05,1.0000250339508057,0.0006197680486366153,0.9999876022338867,3.548687163856812e-05
26,24.93488883972168,24.9321231842041,0.002766445279121399,0.0034378606360405684,0.09001665562391281,0.9999501705169678,7.763977919239551e-05,0.9999919533729553,4.7115237975958735e-05,0.9999439716339111,0.00043364265002310276,0.9999764561653137,5.8405094023328274e-05,0.999978244304657,0.0001778322912286967
27,24.925439834594727,24.924087524414062,0.001352549996227026,0.0024080495350062847,0.06471308320760727,0.9999842047691345,0.00040144179365597665,0.9999988675117493,2.2132155208964832e-05,0.9999428391456604,9.708449215395376e-05,0.9999799132347107,6.354277866194025e-05,0.9999629259109497,0.00013679465337190777
28,24.94801902770996,24.946016311645508,0.0020034201443195343,0.002775150118395686,0.07689408212900162,0.9999200105667114,0.0003006483311764896,0.9999817609786987,1.889427403511945e-05,0.9999526739120483,0.0002214158739661798,0.999984860420227,3.740726606338285e-05,0.9998612403869629,4.1077440982917324e-05
29,24.91932487487793,24.918306350708008,0.0010187416337430477,0.0020274892449378967,0.057043369859457016,0.9999666213989258,0.0001086081683752127,0.9999967217445374,0.00024544913321733475,1.000023603439331,9.324640268459916e-05,0.9999804496765137,5.989159399177879e-05,0.9999781250953674,0.0003030083025805652
30,24.939067840576172,24.938217163085938,0.0008512521162629128,0.0018317276844754815,0.05482376366853714,0.9999707341194153,9.278246579924598e-05,0.9999970197677612,3.5298500733915716e-05,1.0000054836273193,5.2314608183223754e-05,0.999967634677887,0.00014390992873813957,1.0000228881835938,0.0005035363137722015
