beta,total_loss,rec_loss,kl_loss,sigma-0_mean,sigma-0_std,sigma-1_mean,sigma-1_std,sigma-2_mean,sigma-2_std,sigma-3_mean,sigma-3_std,sigma-4_mean,sigma-4_std
0.0,,,,,,,,,,,,,
0.15,12.16465487815678,10.274297051338245,1.8903578129658567,0.09406402707099915,0.014490075409412384,0.0852571427822113,0.012042403221130371,0.08726295083761215,0.016519013792276382,0.0881788432598114,0.01297962386161089,0.09413015097379684,0.012741382233798504
0.3,13.9604010856482,10.82099987855598,3.139401223867941,0.13924762606620789,0.02250100113451481,0.11824949830770493,0.02564803883433342,0.12867015600204468,0.019834183156490326,0.13400572538375854,0.023756055161356926,0.1320149153470993,0.02032962068915367
0.44999999999999996,15.657229292367314,11.604644550697635,4.052584734806882,0.18558482825756073,0.03835005313158035,0.18750843405723572,0.028545530512928963,0.17108358442783356,0.028069060295820236,0.16596470773220062,0.027056362479925156,0.14635732769966125,0.02362390235066414
0.6,17.040691924756015,12.222657112170385,4.818034824277801,0.2094065099954605,0.03158671781420708,0.17698565125465393,0.029292983934283257,0.22236751019954681,0.03439629077911377,0.213997483253479,0.03688591718673706,0.2008218914270401,0.03222411498427391
0.75,18.355747259501964,13.040091544072002,5.31565572712213,0.2236625999212265,0.03611462190747261,0.24078451097011566,0.03116748295724392,0.2677367329597473,0.0422261543571949,0.24820512533187866,0.04176437482237816,0.24281936883926392,0.036770522594451904
0.8999999999999999,19.47782793228052,13.802495122718405,5.675332788719551,0.289079874753952,0.0541495755314827,0.3012218177318573,0.04848678410053253,0.277147114276886,0.03768277168273926,0.29207345843315125,0.0452476441860199,0.2629547417163849,0.046359818428754807
1.05,20.403959754179283,14.506615572646737,5.897344184582676,0.31425634026527405,0.041443269699811935,0.31580838561058044,0.0507856085896492,0.3726872503757477,0.07018249481916428,0.3304665982723236,0.0524066798388958,0.2965133488178253,0.04984937235713005
1.2,21.308065528300272,15.392199050643043,5.9158665117170255,0.36727720499038696,0.047127123922109604,0.3233160674571991,0.054331906139850616,0.40610599517822266,0.06241166591644287,0.34694406390190125,0.047270044684410095,0.4216477870941162,0.06841681897640228
1.3499999999999999,21.980907340547933,16.10343644868082,5.8774708725496145,0.3663850724697113,0.04487400874495506,0.3707173466682434,0.05544816702604294,0.44742655754089355,0.07358774542808533,0.4744105041027069,0.08007782697677612,0.43052828311920166,0.06845644861459732
1.5,22.629230973054604,16.79453392069477,5.834697044734508,0.44418394565582275,0.05825580283999443,0.5261614322662354,0.0961766466498375,0.4552171230316162,0.06377257406711578,0.3744337260723114,0.052625417709350586,0.497989296913147,0.08019226044416428
1.65,23.236006238567295,17.51060053432928,5.725405727113996,0.5419847965240479,0.07887786626815796,0.5037878751754761,0.07448621839284897,0.4927183985710144,0.06252115964889526,0.5380173921585083,0.08997512608766556,0.41232529282569885,0.05045938119292259
1.7999999999999998,23.775242957987512,18.359417909243977,5.415825032984524,0.4972967803478241,0.0627218559384346,0.6162416934967041,0.08158917725086212,0.5470810532569885,0.0745101273059845,0.45422598719596863,0.0646391212940216,0.6173721551895142,0.08614840358495712
1.95,24.146981479262493,18.910289361786994,5.236692112391945,0.6626887917518616,0.10239920765161514,0.5726852416992188,0.05996222421526909,0.4578699767589569,0.06292149424552917,0.5459885001182556,0.06432750076055527,0.6889284253120422,0.09410218149423599
2.1,24.566696244262175,19.578863977623392,4.987832273755755,0.4863121807575226,0.06281566619873047,0.6300444006919861,0.06368511915206909,0.6594275832176208,0.08560486137866974,0.5850211977958679,0.059486888349056244,0.7479620575904846,0.0885872170329094
2.25,24.882259293659917,20.162036759512766,4.720222543297546,0.5130693316459656,0.06634947657585144,0.5875910520553589,0.05215248838067055,0.668068528175354,0.06966494023799896,0.7784504294395447,0.09473023563623428,0.746269941329956,0.10435786843299866
2.4,25.153939409805005,20.85133898842818,4.302600389096274,0.6525627374649048,0.05693410709500313,0.8334686756134033,0.07844110578298569,0.7627243995666504,0.09912145137786865,0.5427032113075256,0.06649629026651382,0.704521656036377,0.06365548074245453
2.55,25.45415865078664,21.499391724560052,3.9547669341060905,0.8085386157035828,0.09063312411308289,0.6841692328453064,0.05320335552096367,0.7440634965896606,0.0662231296300888,0.5581293106079102,0.06645273417234421,0.8772194385528564,0.07735152542591095
2.6999999999999997,25.63073477917897,22.089465989232824,3.541268792233742,0.5921940803527832,0.06869193911552429,0.7802417874336243,0.07045738399028778,0.8324654698371887,0.07489736378192902,0.7225321531295776,0.06356549263000488,0.9217865467071533,0.06867726147174835
2.85,25.824163967612456,22.819255326602505,3.0049086377056424,0.9813591837882996,0.06014983355998993,0.8815656900405884,0.06763724237680435,0.8150961995124817,0.06059965118765831,0.7520279884338379,0.06203068047761917,0.6244946122169495,0.06532128155231476
3.0,25.96120338399273,23.25204795560857,2.709155415675279,0.8410738110542297,0.06105993315577507,0.9071500897407532,0.06003449484705925,0.6484383344650269,0.06398878991603851,0.7910261154174805,0.06080424040555954,0.9836567640304565,0.05595416575670242
3.15,26.085074825327535,23.766506528549357,2.3185682807649886,0.9537398219108582,0.05854678526520729,0.9830426573753357,0.05679617449641228,0.8766988515853882,0.05745282769203186,0.8199658393859863,0.050264496356248856,0.6749919652938843,0.06604874134063721
3.3,26.20742782600907,24.249449365937124,1.9579784425336924,0.9073852300643921,0.0520804189145565,0.981911838054657,0.05136701837182045,0.7028377652168274,0.06110605597496033,0.8527461886405945,0.04607592523097992,0.9839473962783813,0.05485905334353447
